_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,Gender,GenderQF,AgeGroup,AgeGroupQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
31,All alcohol conditions, ,d z,SMR01,2012/13,Male, ,All,d,1011.4,669.8,321.1, ,25608, ,16980, ,8172, ,1.5
32,All alcohol conditions, ,d z,SMR01,2012/13,Female, ,All,d,386.6,270,143.7, ,10611, ,7428, ,3963, ,1.4
33,All alcohol conditions, ,d z,SMR01,2013/14,Male, ,All,d,1025.7,669.1,320.7, ,26055, ,17022, ,8187, ,1.5
34,All alcohol conditions, ,d z,SMR01,2013/14,Female, ,All,d,387.3,271.6,144.1, ,10665, ,7494, ,3984, ,1.4
35,All alcohol conditions, ,d z,SMR01,2014/15,Male, ,All,d,979.1,645.3,304.8, ,25011, ,16467, ,7803, ,1.5
36,All alcohol conditions, ,d z,SMR01,2014/15,Female, ,All,d,374,262.4,138, ,10308, ,7257, ,3822, ,1.4
37,All alcohol conditions, ,d z,SMR01,2015/16,Male, ,All,d,974.3,643.3,305.4, ,25053, ,16527, ,7857, ,1.5
38,All alcohol conditions, ,d z,SMR01,2015/16,Female, ,All,d,374.1,257.8,132.5, ,10374, ,7164, ,3684, ,1.4
39,All alcohol conditions, ,d z,SMR01,2016/17,Male, ,All,d,989.2,650.7,308.6, ,25647, ,16833, ,7989, ,1.5
40,All alcohol conditions, ,d z,SMR01,2016/17,Female, ,All,d,381.5,260.1,136.5, ,10602, ,7239, ,3801, ,1.5
41,All alcohol conditions, ,d z,SMR01,2017/18,Male, ,All,d,964.1,634.1,302.9, ,25089, ,16473, ,7890, ,1.5
42,All alcohol conditions, ,d z,SMR01,2017/18,Female, ,All,d,374.3,252.2,132.4, ,10455, ,7044, ,3690, ,1.5
43,All alcohol conditions, ,d z,SMR01,2018/19,Male, ,All,d,961.7,630.3,309.1, ,25164, ,16485, ,8103, ,1.5
44,All alcohol conditions, ,d z,SMR01,2018/19,Female, ,All,d,377,259.8,140.9, ,10548, ,7278, ,3939, ,1.4
45,All alcohol conditions, ,d z,SMR01,2019/20,Male, ,All,d,937.3,607.7,294.2, ,24669, ,15999, ,7764, ,1.5
46,All alcohol conditions, ,d z,SMR01,2019/20,Female, ,All,d,396,273.6,147.8, ,11112, ,7683, ,4137, ,1.4
47,All alcohol conditions, ,d z,SMR01,1997/98,All,d,Under 15 years, ,59.7,58.4, ,:,558, ,546, , ,:,1
48,All alcohol conditions, ,d z,SMR01,1997/98,All,d,15-19 years, ,475.3,445.5, ,:,1500, ,1407, , ,:,1.1
49,All alcohol conditions, ,d z,SMR01,1997/98,All,d,20-24 years, ,450.1,406.9, ,:,1446, ,1308, , ,:,1.1
50,All alcohol conditions, ,d z,SMR01,1997/98,All,d,25-29 years, ,441.1,374.3, ,:,1659, ,1407, , ,:,1.2
51,All alcohol conditions, ,d z,SMR01,1997/98,All,d,30-34 years, ,561.5,418, ,:,2253, ,1680, , ,:,1.3
52,All alcohol conditions, ,d z,SMR01,1997/98,All,d,35-39 years, ,732.4,532.5, ,:,2823, ,2055, , ,:,1.4
53,All alcohol conditions, ,d z,SMR01,1997/98,All,d,40-44 years, ,951.7,673.4, ,:,3291, ,2328, , ,:,1.4
54,All alcohol conditions, ,d z,SMR01,1997/98,All,d,45-49 years, ,973.6,665, ,:,3300, ,2256, , ,:,1.5
55,All alcohol conditions, ,d z,SMR01,1997/98,All,d,50-54 years, ,981.3,692.1, ,:,3105, ,2190, , ,:,1.4
56,All alcohol conditions, ,d z,SMR01,1997/98,All,d,55-59 years, ,1058.4,738.3, ,:,2835, ,1980, , ,:,1.4
57,All alcohol conditions, ,d z,SMR01,1997/98,All,d,60-64 years, ,952.4,683.7, ,:,2376, ,1707, , ,:,1.4
58,All alcohol conditions, ,d z,SMR01,1997/98,All,d,65 years and over, ,631.1,489.8, ,:,4548, ,3519, , ,:,1.3
59,All alcohol conditions, ,d z,SMR01,1998/99,All,d,Under 15 years, ,48.9,47.1, ,:,459, ,444, , ,:,1
60,All alcohol conditions, ,d z,SMR01,1998/99,All,d,15-19 years, ,484,460.1, ,:,1545, ,1470, , ,:,1.1
61,All alcohol conditions, ,d z,SMR01,1998/99,All,d,20-24 years, ,475.9,408, ,:,1467, ,1257, , ,:,1.2
62,All alcohol conditions, ,d z,SMR01,1998/99,All,d,25-29 years, ,451.3,372.9, ,:,1626, ,1344, , ,:,1.2
63,All alcohol conditions, ,d z,SMR01,1998/99,All,d,30-34 years, ,598.9,446.6, ,:,2379, ,1773, , ,:,1.3
64,All alcohol conditions, ,d z,SMR01,1998/99,All,d,35-39 years, ,761.9,543.8, ,:,2976, ,2127, , ,:,1.4
65,All alcohol conditions, ,d z,SMR01,1998/99,All,d,40-44 years, ,969.6,665.5, ,:,3420, ,2349, , ,:,1.5
66,All alcohol conditions, ,d z,SMR01,1998/99,All,d,45-49 years, ,980.6,684.6, ,:,3267, ,2280, , ,:,1.4
67,All alcohol conditions, ,d z,SMR01,1998/99,All,d,50-54 years, ,991.8,683.7, ,:,3258, ,2247, , ,:,1.4
68,All alcohol conditions, ,d z,SMR01,1998/99,All,d,55-59 years, ,1061.5,749.2, ,:,2883, ,2037, , ,:,1.4
69,All alcohol conditions, ,d z,SMR01,1998/99,All,d,60-64 years, ,978.5,703.4, ,:,2475, ,1779, , ,:,1.4
70,All alcohol conditions, ,d z,SMR01,1998/99,All,d,65 years and over, ,662.1,514.5, ,:,4809, ,3720, , ,:,1.3
71,All alcohol conditions, ,d z,SMR01,1999/00,All,d,Under 15 years, ,56,55, ,:,528, ,519, , ,:,1
72,All alcohol conditions, ,d z,SMR01,1999/00,All,d,15-19 years, ,514.7,485.8, ,:,1641, ,1548, , ,:,1.1
73,All alcohol conditions, ,d z,SMR01,1999/00,All,d,20-24 years, ,521.3,456.3, ,:,1596, ,1398, , ,:,1.1
74,All alcohol conditions, ,d z,SMR01,1999/00,All,d,25-29 years, ,511.3,408, ,:,1752, ,1398, , ,:,1.3
75,All alcohol conditions, ,d z,SMR01,1999/00,All,d,30-34 years, ,597.4,449.9, ,:,2343, ,1767, , ,:,1.3
76,All alcohol conditions, ,d z,SMR01,1999/00,All,d,35-39 years, ,764.4,529.3, ,:,3018, ,2091, , ,:,1.4
77,All alcohol conditions, ,d z,SMR01,1999/00,All,d,40-44 years, ,1011.3,692.9, ,:,3642, ,2499, , ,:,1.5
78,All alcohol conditions, ,d z,SMR01,1999/00,All,d,45-49 years, ,1105.2,740.3, ,:,3663, ,2454, , ,:,1.5
79,All alcohol conditions, ,d z,SMR01,1999/00,All,d,50-54 years, ,1061.9,712.2, ,:,3573, ,2397, , ,:,1.5
80,All alcohol conditions, ,d z,SMR01,1999/00,All,d,55-59 years, ,1109,779.4, ,:,3063, ,2154, , ,:,1.4
81,All alcohol conditions, ,d z,SMR01,1999/00,All,d,60-64 years, ,1012.4,733.8, ,:,2577, ,1869, , ,:,1.4
82,All alcohol conditions, ,d z,SMR01,1999/00,All,d,65 years and over, ,713.7,541.3, ,:,5196, ,3927, , ,:,1.3
83,All alcohol conditions, ,d z,SMR01,2000/01,All,d,Under 15 years, ,56.7,55.9, ,:,531, ,525, , ,:,1
84,All alcohol conditions, ,d z,SMR01,2000/01,All,d,15-19 years, ,503.9,472.9, ,:,1605, ,1506, , ,:,1.1
85,All alcohol conditions, ,d z,SMR01,2000/01,All,d,20-24 years, ,468.7,413, ,:,1449, ,1275, , ,:,1.1
86,All alcohol conditions, ,d z,SMR01,2000/01,All,d,25-29 years, ,476.4,380.8, ,:,1554, ,1245, , ,:,1.2
87,All alcohol conditions, ,d z,SMR01,2000/01,All,d,30-34 years, ,587.7,438.5, ,:,2241, ,1671, , ,:,1.3
88,All alcohol conditions, ,d z,SMR01,2000/01,All,d,35-39 years, ,759.1,519.3, ,:,3021, ,2070, , ,:,1.5
89,All alcohol conditions, ,d z,SMR01,2000/01,All,d,40-44 years, ,1035,684, ,:,3810, ,2520, , ,:,1.5
90,All alcohol conditions, ,d z,SMR01,2000/01,All,d,45-49 years, ,1126.8,738, ,:,3738, ,2451, , ,:,1.5
91,All alcohol conditions, ,d z,SMR01,2000/01,All,d,50-54 years, ,1098.3,730.5, ,:,3783, ,2517, , ,:,1.5
92,All alcohol conditions, ,d z,SMR01,2000/01,All,d,55-59 years, ,1110.5,753.3, ,:,3099, ,2103, , ,:,1.5
93,All alcohol conditions, ,d z,SMR01,2000/01,All,d,60-64 years, ,1011,725.1, ,:,2589, ,1857, , ,:,1.4
94,All alcohol conditions, ,d z,SMR01,2000/01,All,d,65 years and over, ,675.9,520.5, ,:,4965, ,3804, , ,:,1.3
95,All alcohol conditions, ,d z,SMR01,2001/02,All,d,Under 15 years, ,54.8,53.8, ,:,510, ,501, , ,:,1
96,All alcohol conditions, ,d z,SMR01,2001/02,All,d,15-19 years, ,542,502.1, ,:,1728, ,1599, , ,:,1.1
97,All alcohol conditions, ,d z,SMR01,2001/02,All,d,20-24 years, ,523.5,460, ,:,1650, ,1452, , ,:,1.1
98,All alcohol conditions, ,d z,SMR01,2001/02,All,d,25-29 years, ,557.6,426.9, ,:,1734, ,1329, , ,:,1.3
99,All alcohol conditions, ,d z,SMR01,2001/02,All,d,30-34 years, ,650,469.2, ,:,2445, ,1767, , ,:,1.4
100,All alcohol conditions, ,d z,SMR01,2001/02,All,d,35-39 years, ,820.8,561.6, ,:,3267, ,2238, , ,:,1.5
101,All alcohol conditions, ,d z,SMR01,2001/02,All,d,40-44 years, ,1025.6,693.5, ,:,3849, ,2604, , ,:,1.5
102,All alcohol conditions, ,d z,SMR01,2001/02,All,d,45-49 years, ,1184.3,756.3, ,:,3987, ,2547, , ,:,1.6
103,All alcohol conditions, ,d z,SMR01,2001/02,All,d,50-54 years, ,1070.5,732.7, ,:,3741, ,2562, , ,:,1.5
104,All alcohol conditions, ,d z,SMR01,2001/02,All,d,55-59 years, ,1142.6,776.3, ,:,3276, ,2229, , ,:,1.5
105,All alcohol conditions, ,d z,SMR01,2001/02,All,d,60-64 years, ,1159.8,820.8, ,:,2955, ,2091, , ,:,1.4
106,All alcohol conditions, ,d z,SMR01,2001/02,All,d,65 years and over, ,704,533.1, ,:,5175, ,3906, , ,:,1.3
107,All alcohol conditions, ,d z,SMR01,2002/03,All,d,Under 15 years, ,48.9,47.7, ,:,456, ,444, , ,:,1
108,All alcohol conditions, ,d z,SMR01,2002/03,All,d,15-19 years, ,524.8,473.1, ,:,1677, ,1512, , ,:,1.1
109,All alcohol conditions, ,d z,SMR01,2002/03,All,d,20-24 years, ,558.5,486.1, ,:,1806, ,1572, , ,:,1.1
110,All alcohol conditions, ,d z,SMR01,2002/03,All,d,25-29 years, ,575.1,455.4, ,:,1719, ,1362, , ,:,1.3
111,All alcohol conditions, ,d z,SMR01,2002/03,All,d,30-34 years, ,664.7,481.3, ,:,2418, ,1752, , ,:,1.4
112,All alcohol conditions, ,d z,SMR01,2002/03,All,d,35-39 years, ,838,569.8, ,:,3327, ,2265, , ,:,1.5
113,All alcohol conditions, ,d z,SMR01,2002/03,All,d,40-44 years, ,1053.6,694.8, ,:,4029, ,2658, , ,:,1.5
114,All alcohol conditions, ,d z,SMR01,2002/03,All,d,45-49 years, ,1271.2,808, ,:,4374, ,2784, , ,:,1.6
115,All alcohol conditions, ,d z,SMR01,2002/03,All,d,50-54 years, ,1188.5,782.8, ,:,3987, ,2628, , ,:,1.5
116,All alcohol conditions, ,d z,SMR01,2002/03,All,d,55-59 years, ,1137,794.8, ,:,3513, ,2457, , ,:,1.4
117,All alcohol conditions, ,d z,SMR01,2002/03,All,d,60-64 years, ,1214.2,855.6, ,:,3099, ,2187, , ,:,1.4
118,All alcohol conditions, ,d z,SMR01,2002/03,All,d,65 years and over, ,738.7,556.1, ,:,5514, ,4143, , ,:,1.3
119,All alcohol conditions, ,d z,SMR01,2003/04,All,d,Under 15 years, ,42.1,41.3, ,:,387, ,381, , ,:,1
120,All alcohol conditions, ,d z,SMR01,2003/04,All,d,15-19 years, ,472,432, ,:,1518, ,1392, , ,:,1.1
121,All alcohol conditions, ,d z,SMR01,2003/04,All,d,20-24 years, ,471.6,413.7, ,:,1548, ,1359, , ,:,1.1
122,All alcohol conditions, ,d z,SMR01,2003/04,All,d,25-29 years, ,536.8,418.6, ,:,1560, ,1218, , ,:,1.3
123,All alcohol conditions, ,d z,SMR01,2003/04,All,d,30-34 years, ,656,466.2, ,:,2313, ,1647, , ,:,1.4
124,All alcohol conditions, ,d z,SMR01,2003/04,All,d,35-39 years, ,806,545, ,:,3180, ,2154, , ,:,1.5
125,All alcohol conditions, ,d z,SMR01,2003/04,All,d,40-44 years, ,1041.8,691.9, ,:,4053, ,2691, , ,:,1.5
126,All alcohol conditions, ,d z,SMR01,2003/04,All,d,45-49 years, ,1221,771.9, ,:,4284, ,2712, , ,:,1.6
127,All alcohol conditions, ,d z,SMR01,2003/04,All,d,50-54 years, ,1252.4,804.8, ,:,4131, ,2655, , ,:,1.6
128,All alcohol conditions, ,d z,SMR01,2003/04,All,d,55-59 years, ,1129,775.7, ,:,3630, ,2496, , ,:,1.5
129,All alcohol conditions, ,d z,SMR01,2003/04,All,d,60-64 years, ,1286.1,888.9, ,:,3327, ,2301, , ,:,1.4
130,All alcohol conditions, ,d z,SMR01,2003/04,All,d,65 years and over, ,778.7,592.3, ,:,5886, ,4461, , ,:,1.3
131,All alcohol conditions, ,d z,SMR01,2004/05,All,d,Under 15 years, ,40.9,39, ,:,375, ,360, , ,:,1
132,All alcohol conditions, ,d z,SMR01,2004/05,All,d,15-19 years, ,453,415.8, ,:,1467, ,1347, , ,:,1.1
133,All alcohol conditions, ,d z,SMR01,2004/05,All,d,20-24 years, ,482.8,426.6, ,:,1590, ,1407, , ,:,1.1
134,All alcohol conditions, ,d z,SMR01,2004/05,All,d,25-29 years, ,540.3,425.6, ,:,1587, ,1248, , ,:,1.3
135,All alcohol conditions, ,d z,SMR01,2004/05,All,d,30-34 years, ,684.1,483.5, ,:,2319, ,1641, , ,:,1.4
136,All alcohol conditions, ,d z,SMR01,2004/05,All,d,35-39 years, ,838.8,577.1, ,:,3276, ,2256, , ,:,1.5
137,All alcohol conditions, ,d z,SMR01,2004/05,All,d,40-44 years, ,1088.6,709.5, ,:,4299, ,2805, , ,:,1.5
138,All alcohol conditions, ,d z,SMR01,2004/05,All,d,45-49 years, ,1282.4,837.6, ,:,4599, ,3006, , ,:,1.5
139,All alcohol conditions, ,d z,SMR01,2004/05,All,d,50-54 years, ,1370.5,837.9, ,:,4500, ,2754, , ,:,1.6
140,All alcohol conditions, ,d z,SMR01,2004/05,All,d,55-59 years, ,1225.9,813.7, ,:,4050, ,2688, , ,:,1.5
141,All alcohol conditions, ,d z,SMR01,2004/05,All,d,60-64 years, ,1356.9,909.4, ,:,3588, ,2406, , ,:,1.5
142,All alcohol conditions, ,d z,SMR01,2004/05,All,d,65 years and over, ,904.6,663.1, ,:,6885, ,5034, , ,:,1.4
143,All alcohol conditions, ,d z,SMR01,2005/06,All,d,Under 15 years, ,42.4,40.9, ,:,384, ,372, , ,:,1
144,All alcohol conditions, ,d z,SMR01,2005/06,All,d,15-19 years, ,468.3,434.8, ,:,1515, ,1407, , ,:,1.1
145,All alcohol conditions, ,d z,SMR01,2005/06,All,d,20-24 years, ,530.3,454.2, ,:,1773, ,1518, , ,:,1.2
146,All alcohol conditions, ,d z,SMR01,2005/06,All,d,25-29 years, ,490.1,387.2, ,:,1479, ,1170, , ,:,1.3
147,All alcohol conditions, ,d z,SMR01,2005/06,All,d,30-34 years, ,678.7,486.3, ,:,2235, ,1602, , ,:,1.4
148,All alcohol conditions, ,d z,SMR01,2005/06,All,d,35-39 years, ,867.1,581.1, ,:,3330, ,2235, , ,:,1.5
149,All alcohol conditions, ,d z,SMR01,2005/06,All,d,40-44 years, ,1035,683.5, ,:,4158, ,2748, , ,:,1.5
150,All alcohol conditions, ,d z,SMR01,2005/06,All,d,45-49 years, ,1299.1,837.9, ,:,4776, ,3081, , ,:,1.6
151,All alcohol conditions, ,d z,SMR01,2005/06,All,d,50-54 years, ,1348.8,839.4, ,:,4446, ,2769, , ,:,1.6
152,All alcohol conditions, ,d z,SMR01,2005/06,All,d,55-59 years, ,1211.6,774.1, ,:,4107, ,2625, , ,:,1.6
153,All alcohol conditions, ,d z,SMR01,2005/06,All,d,60-64 years, ,1356.9,909.4, ,:,3636, ,2436, , ,:,1.5
154,All alcohol conditions, ,d z,SMR01,2005/06,All,d,65 years and over, ,836.1,614.6, ,:,6441, ,4725, , ,:,1.4
155,All alcohol conditions, ,d z,SMR01,2006/07,All,d,Under 15 years, ,46.2,44.5, ,:,414, ,399, , ,:,1
156,All alcohol conditions, ,d z,SMR01,2006/07,All,d,15-19 years, ,509.4,468.7, ,:,1662, ,1530, , ,:,1.1
157,All alcohol conditions, ,d z,SMR01,2006/07,All,d,20-24 years, ,589.7,492.5, ,:,1989, ,1659, , ,:,1.2
158,All alcohol conditions, ,d z,SMR01,2006/07,All,d,25-29 years, ,579.1,437.9, ,:,1803, ,1365, , ,:,1.3
159,All alcohol conditions, ,d z,SMR01,2006/07,All,d,30-34 years, ,676.2,494.6, ,:,2148, ,1572, , ,:,1.4
160,All alcohol conditions, ,d z,SMR01,2006/07,All,d,35-39 years, ,933.8,594.2, ,:,3555, ,2265, , ,:,1.6
161,All alcohol conditions, ,d z,SMR01,2006/07,All,d,40-44 years, ,1120,706.7, ,:,4509, ,2847, , ,:,1.6
162,All alcohol conditions, ,d z,SMR01,2006/07,All,d,45-49 years, ,1268.8,824.8, ,:,4761, ,3096, , ,:,1.5
163,All alcohol conditions, ,d z,SMR01,2006/07,All,d,50-54 years, ,1387.5,854.5, ,:,4635, ,2856, , ,:,1.6
164,All alcohol conditions, ,d z,SMR01,2006/07,All,d,55-59 years, ,1236.1,808, ,:,4248, ,2778, , ,:,1.5
165,All alcohol conditions, ,d z,SMR01,2006/07,All,d,60-64 years, ,1343.1,862.5, ,:,3699, ,2376, , ,:,1.6
166,All alcohol conditions, ,d z,SMR01,2006/07,All,d,65 years and over, ,868.4,635.8, ,:,6753, ,4935, , ,:,1.4
167,All alcohol conditions, ,d z,SMR01,2007/08,All,d,Under 15 years, ,41.4,39.8,37.5, ,369, ,354, ,333, ,1
168,All alcohol conditions, ,d z,SMR01,2007/08,All,d,15-19 years, ,606.4,559.7,497.8, ,2001, ,1848, ,1644, ,1.1
169,All alcohol conditions, ,d z,SMR01,2007/08,All,d,20-24 years, ,667.7,570,435.7, ,2274, ,1941, ,1485, ,1.2
170,All alcohol conditions, ,d z,SMR01,2007/08,All,d,25-29 years, ,708.7,508.1,323.8, ,2304, ,1653, ,1053, ,1.4
171,All alcohol conditions, ,d z,SMR01,2007/08,All,d,30-34 years, ,807.9,551.1,320.1, ,2493, ,1701, ,990, ,1.5
172,All alcohol conditions, ,d z,SMR01,2007/08,All,d,35-39 years, ,976.6,619.8,325.2, ,3645, ,2319, ,1218, ,1.6
173,All alcohol conditions, ,d z,SMR01,2007/08,All,d,40-44 years, ,1134.5,721.6,343.7, ,4590, ,2922, ,1392, ,1.6
174,All alcohol conditions, ,d z,SMR01,2007/08,All,d,45-49 years, ,1353.8,835.9,367.7, ,5196, ,3210, ,1413, ,1.6
175,All alcohol conditions, ,d z,SMR01,2007/08,All,d,50-54 years, ,1439.7,877.2,370.2, ,4932, ,3006, ,1269, ,1.6
176,All alcohol conditions, ,d z,SMR01,2007/08,All,d,55-59 years, ,1287.1,809.3,366.3, ,4254, ,2676, ,1212, ,1.6
177,All alcohol conditions, ,d z,SMR01,2007/08,All,d,60-64 years, ,1343.9,866.4,387.3, ,4005, ,2583, ,1155, ,1.6
178,All alcohol conditions, ,d z,SMR01,2007/08,All,d,65 years and over, ,886,626,319.8, ,6975, ,4926, ,2520, ,1.4
179,All alcohol conditions, ,d z,SMR01,2008/09,All,d,Under 15 years, ,31.9,30.9,29.7, ,282, ,273, ,261, ,1
180,All alcohol conditions, ,d z,SMR01,2008/09,All,d,15-19 years, ,499.4,450.6,395, ,1647, ,1485, ,1302, ,1.1
181,All alcohol conditions, ,d z,SMR01,2008/09,All,d,20-24 years, ,622,530.7,395.2, ,2151, ,1836, ,1368, ,1.2
182,All alcohol conditions, ,d z,SMR01,2008/09,All,d,25-29 years, ,693.8,497.2,309.9, ,2325, ,1665, ,1038, ,1.4
183,All alcohol conditions, ,d z,SMR01,2008/09,All,d,30-34 years, ,812.5,547.9,311.2, ,2475, ,1668, ,948, ,1.5
184,All alcohol conditions, ,d z,SMR01,2008/09,All,d,35-39 years, ,973.3,623.8,318.9, ,3549, ,2277, ,1164, ,1.6
185,All alcohol conditions, ,d z,SMR01,2008/09,All,d,40-44 years, ,1121.4,700.8,335.1, ,4515, ,2826, ,1353, ,1.6
186,All alcohol conditions, ,d z,SMR01,2008/09,All,d,45-49 years, ,1288.9,803.4,350.5, ,5046, ,3147, ,1374, ,1.6
187,All alcohol conditions, ,d z,SMR01,2008/09,All,d,50-54 years, ,1429.3,882.8,372.1, ,4998, ,3090, ,1302, ,1.6
188,All alcohol conditions, ,d z,SMR01,2008/09,All,d,55-59 years, ,1232.8,785.2,330.6, ,4008, ,2553, ,1077, ,1.6
189,All alcohol conditions, ,d z,SMR01,2008/09,All,d,60-64 years, ,1281.8,844.4,380.1, ,3987, ,2625, ,1182, ,1.5
190,All alcohol conditions, ,d z,SMR01,2008/09,All,d,65 years and over, ,870.9,620.9,310.9, ,7002, ,4974, ,2490, ,1.4
191,All alcohol conditions, ,d z,SMR01,2009/10,All,d,Under 15 years, ,28,27.5,26.7, ,243, ,240, ,234, ,1
192,All alcohol conditions, ,d z,SMR01,2009/10,All,d,15-19 years, ,423.1,387.8,330.4, ,1410, ,1293, ,1101, ,1.1
193,All alcohol conditions, ,d z,SMR01,2009/10,All,d,20-24 years, ,571.1,479.2,348.1, ,1986, ,1668, ,1212, ,1.2
194,All alcohol conditions, ,d z,SMR01,2009/10,All,d,25-29 years, ,629,472.6,282.9, ,2124, ,1596, ,957, ,1.3
195,All alcohol conditions, ,d z,SMR01,2009/10,All,d,30-34 years, ,761.7,502.2,278, ,2343, ,1545, ,855, ,1.5
196,All alcohol conditions, ,d z,SMR01,2009/10,All,d,35-39 years, ,898.8,569.5,276.8, ,3183, ,2016, ,981, ,1.6
197,All alcohol conditions, ,d z,SMR01,2009/10,All,d,40-44 years, ,1076.3,676.1,299.4, ,4302, ,2703, ,1200, ,1.6
198,All alcohol conditions, ,d z,SMR01,2009/10,All,d,45-49 years, ,1186.2,752.5,313.2, ,4719, ,2994, ,1248, ,1.6
199,All alcohol conditions, ,d z,SMR01,2009/10,All,d,50-54 years, ,1318.8,807,325.1, ,4716, ,2889, ,1164, ,1.6
200,All alcohol conditions, ,d z,SMR01,2009/10,All,d,55-59 years, ,1208.2,764.6,327.6, ,3906, ,2472, ,1059, ,1.6
201,All alcohol conditions, ,d z,SMR01,2009/10,All,d,60-64 years, ,1147.5,742.1,313.9, ,3666, ,2370, ,1002, ,1.5
202,All alcohol conditions, ,d z,SMR01,2009/10,All,d,65 years and over, ,826.8,590.5,289.1, ,6750, ,4809, ,2340, ,1.4
203,All alcohol conditions, ,d z,SMR01,2010/11,All,d,Under 15 years, ,23.9,22.4,21.1, ,204, ,192, ,180, ,1.1
